S.No	Product Name	Category	Weight	Price (₹)	Description	Status
26	Fresh Sweet Plum	Mix Collection	200gm	50	Fresh sweet plums.	Currently Unavailable
27	Godzilla Mosquito Coil	Mix Collection	Up to 8 Hours	120	Mosquito coil providing protection for up to 8 hours.	Currently Unavailable
28	Sticky Rice Steam	Mix Collection	N/A	50	Traditional steamed snack made from sticky rice flour.	Currently Unavailable
29	Harra	Mix Collection	100gm	50	Traditional herbal product.	Currently Unavailable
30	Sinju	Mix Collection	N/A	50	Traditional Northeast salad mix.	Currently Unavailable
31	Village Brush	Mix Collection	N/A	50	Traditional natural toothbrush.	Currently Unavailable
32	Big Leaf	Mix Collection	5 Pieces	50	Fresh large leaves used traditionally with betel nut.	Currently Unavailable
33	Pomelo	Mix Collection	N/A	150	Fresh pomelo fruit.	Currently Unavailable
34	Silver Berry	Mix Collection	Per Packet	50	Fresh silver berries.	Currently Unavailable
35	Burmese Grapes	Mix Collection	200gm	50	Fresh Burmese grapes.	Currently Unavailable
S.No	Product Name	Category	Weight/Specification	Price (₹)	Description	Status
1	Mimi (Instant Noodles)	Noodle Items	N/A	10	Classic instant noodles for a quick and easy meal.	Available
2	Wai Wai	Noodle Items	N/A	15	Popular instant noodles that can be eaten cooked or straight from the pack.	Available
3	Spicy Noodles 2X	Noodle Items	N/A	150	Extra spicy instant noodles for spicy food lovers.	Available
4	Spicy Noodles 3X	Noodle Items	N/A	150	Extremely spicy noodles (13,200 Scoville).	Available
5	Current Noodle	Noodle Items	60gm	40	Instant noodles made with natural ingredients and rich flavor.	Available
6	Buldak Fire	Noodle Items	N/A	150	Korean spicy fire noodles.	Available
7	Rumpum Chicken Flavor	Noodle Items	N/A	10	Chicken-flavored instant noodles.	Available
8	Shin Ramyun Veg Noodle	Noodle Items	N/A	140	Premium Korean-style vegetarian ramen noodles.	Available
9	Buldak Cream Carbonara	Noodle Items	N/A	150	Creamy carbonara-flavored Korean spicy noodles.	Available
10	Rumpum Veg	Noodle Items	N/A	10	Vegetarian instant noodles.	Available
11	Thukpa Noodles	Noodle Items	400gm	150	Traditional noodles suitable for Thukpa and soups.	Available
12	Samyang 2X Sauce	Noodle Items	N/A	500	Original Samyang 2X spicy sauce.	Available
13	Mamee Tom Yum Shrimp Flavor Soupy Noodle	Noodle Items	N/A	50	Tom Yum shrimp-flavored instant soup noodles.	Currently Unavailable
14	Korean Kimchi	Noodle Items	N/A	150	Authentic Korean kimchi.	Currently Unavailable
15	Shin Shin Instant Vermicelli Noodles	Noodle Items	N/A	50	Instant vermicelli noodles.	Currently Unavailable
16	Super Spicy	Noodle Items	N/A	140	Super spicy instant noodles.	Currently Unavailable
17	Daw Shan	Noodle Items	N/A	120	Rice vermicelli noodles with masala and seasoning sauce.	Currently Unavailable
18	Buldak Cheese	Noodle Items	N/A	150	Korean cheese-flavored spicy noodles.	Currently Unavailable
19	Sutah	Noodle Items	Per Packet	150	Premium instant noodle packet.	Currently Unavailable
20	Buldak Sauce	Noodle Items	N/A	500	Original Buldak spicy sauce.	Currently Unavailable
21	Cream Carbonara Sauce	Noodle Items	N/A	500	Creamy carbonara sauce for noodles and pasta.	Currently Unavailable
22	Ramen Kimchi	Noodle Items	N/A	150	Kimchi-flavored ramen noodles.	Currently Unavailable
S.No	Product Name	Category	Weight/Specification	Price (₹)	Description	Status
1	Rice Cake (Shwe Nan Taw)	Biscuit Items	N/A	140	Traditional Myanmar rice cake.	Available
2	Joker Super Butter Crispy Biscuit	Biscuit Items	N/A	120	Crispy butter biscuits made with wheat flour, sugar, egg, milk powder, and vegetable oil.	Available
3	Pran Dry Cake	Biscuit Items	N/A	70	Soft dry cake suitable for tea-time snacks.	Available
4	Pran Sweet Toast	Biscuit Items	250gm	100	Sweet cream-filled toast biscuits, perfect with tea.	Available
5	Dingwang Snow Cookie	Biscuit Items	N/A	10	Sweet and salty snow cookie.	Available
6	New Rice Cake	Biscuit Items	N/A	250	Traditional rice cake snack.	Available
7	Ruskit Dry Cake	Biscuit Items	N/A	70	Soft and delicious dry cake.	Available
S.No	Product Name	Category	Subcategory	Weight/Specification	Price (₹)	Description	Status
1	Slice Big Bamboo Shoot	Other Collections	Fermented Items	500gm	200	Fresh sliced bamboo shoots, ideal for traditional Northeast curries and fermented recipes.	Available
1	Dalle Dip	Other Collections	Pickle Items	N/A	250	Traditional spicy Dalle chili dip from the Himalayan region.	Available
2	Yonchak Pickle	Other Collections	Pickle Items	N/A	100	Traditional Yonchak (Tree Bean) pickle with authentic Northeast flavors.	Currently Unavailable
S.No	Product Name	Category	Weight/Specification	Price (₹)	Description	Status
1	Spicy Buff Pickle	Pickle Collection	N/A	150	Homemade spicy buffalo pickle.	Available
2	Shrimp Paste	Pickle Collection	N/A	10	Traditional shrimp paste used as a condiment.	Available
3	Model Fish (Sulay)	Pickle Collection	N/A	10	Traditional preserved fish product.	Available
4	Chicken Pickle (Homemade)	Pickle Collection	N/A	200	Homemade chicken pickle prepared with Sichuan pepper, King Chili, salt, and oil.	Available
5	Fried Fish Sauce & Chili	Pickle Collection	N/A	15	Ready-to-eat fried fish sauce with chili.	Available
6	Poirei Yongchak Pickle	Pickle Collection	N/A	250	Authentic Manipuri Yongchak (Tree Bean) pickle.	Available
7	Poirei Ngari with King Chili	Pickle Collection	N/A	250	Homemade fermented fish (Ngari) pickle with King Chili.	Available
8	Naga King Chili Pickle	Pickle Collection	180gm	200	Authentic hot and spicy King Chili pickle from Dimapur.	Available
9	Axone Pickle with King Chili	Pickle Collection	N/A	200	Fermented soybean pickle blended with King Chili and spices.	Available
10	King Chili with Salt (Homemade)	Pickle Collection	N/A	200	Homemade salted King Chili pickle.	Available
11	Poirei Bamboo Shoots	Pickle Collection	N/A	250	Fresh bamboo shoot pickle with traditional Manipuri spices.	Available
12	Poirei King Chili	Pickle Collection	N/A	250	Traditional King Chili pickle made with herbs and spices.	Available
13	Big Jola Assam King Chili Pickle	Pickle Collection	N/A	30	Assam-style King Chili pickle.	Available
14	Poirei Thumyakpi (Salty Fish) Pickle	Pickle Collection	N/A	280	Traditional salty fish pickle from Manipur.	Available
15	Dimapur Pork Pickle with Bamboo Shoot	Pickle Collection	N/A	200	Pork pickle with bamboo shoot from Dimapur.	Available
16	Shrimp Pickle (Dimapur)	Pickle Collection	N/A	150	Traditional shrimp pickle.	Available
17	Pork with Axone Pickle (Dimapur)	Pickle Collection	N/A	200	Pork pickle blended with fermented Axone.	Available
18	Fish Pickle (Dimapur)	Pickle Collection	N/A	150	Homemade fish pickle.	Available
19	King Chili Pickle (Dimapur)	Pickle Collection	N/A	170	Spicy King Chili pickle.	Available
20	Chicken Pickle (Dimapur)	Pickle Collection	N/A	150	Traditional chicken pickle.	Available
21	Fried Smash Axone Pickle (Dimapur)	Pickle Collection	N/A	150	Fried fermented soybean pickle.	Available
22	Bamboo Shoot Pickle (Dimapur)	Pickle Collection	N/A	150	Bamboo shoot pickle with local spices.	Available
23	Silkworm Pickle (Dimapur)	Pickle Collection	N/A	200	Traditional silkworm pickle.	Available
24	Yongchak Pickle (Dimapur)	Pickle Collection	N/A	150	Tree bean pickle from Dimapur.	Available
25	Dry King Chili Pickle	Pickle Collection	N/A	200	Dry King Chili pickle.	Available
26	Bamboo Shoot Pickles	Pickle Collection	N/A	210	Traditional bamboo shoot pickle.	Available
27	Shrimp Paste Container (Small)	Pickle Collection	Small	20	Small container of shrimp paste.	Available
28	Dimapur Pork Intestine Pickle	Pickle Collection	N/A	200	Traditional pork intestine pickle.	Available
29	Dimapur Buff Pickle in Container	Pickle Collection	N/A	250	Homemade shredded buffalo pickle.	Available
30	Poirei Buff Pickle	Pickle Collection	250gm	280	Ready-to-eat buffalo pickle.	Available
31	Poirei Fish Pickle	Pickle Collection	250gm	280	Fish pickle prepared from fresh Rohu fish.	Available
32	Poirei Fermented Soya Beans	Pickle Collection	N/A	250	Fermented soybean pickle with King Chili.	Available
33	Roasted King Chili Chutney	Pickle Collection	N/A	20	Roasted King Chili chutney by Oyan Foods.	Available
34	Poirei Chicken Pickle	Pickle Collection	N/A	280	Homemade boneless chicken pickle with a 12-month shelf life.	Available
35	Yongchak Pickle (Dimapur)	Pickle Collection	180gm	210	Premium Yongchak pickle from Nagaland.	Available
36	Buff Bitter Innards Pickle	Pickle Collection	N/A	250	Traditional buffalo innards pickle.	Available
37	Stir Fry Axone Pickle	Pickle Collection	80gm	150	Stir-fried fermented soybean pickle from Dimapur.	Available
38	Anishi Ready to Eat	Pickle Collection	N/A	170	Ready-to-eat fermented yam leaf delicacy.	Available
39	Smoked Pork Pickle	Pickle Collection	N/A	300	Smoked pork pickle by Roots of Northeast.	Available
40	Wild Apple Candy	Pickle Collection	N/A	150	Traditional wild apple candy from Nagaland.	Available
41	Dalle with Mango	Pickle Collection	N/A	250	Dalle chili blended with mango.	Available
42	Dalle Paste High Voltage	Pickle Collection	N/A	280	Extra spicy Dalle chili paste.	Available
43	Jhal Chana	Pickle Collection	N/A	100	Traditional spicy chickpea snack.	Available
44	Bird Eye Chili Pickle	Pickle Collection	N/A	150	Pickle made with Bird Eye chilies.	Available
45	Shrimp Paste (Medium)	Pickle Collection	Medium	100	Medium-sized shrimp paste container.	Available
46	Dalle Fireball Pickle	Pickle Collection	N/A	250	Extra hot Dalle chili pickle.	Available
47	Fermented Dry Fish Pickle	Pickle Collection	N/A	170	Traditional fermented dry fish pickle.	Available
48	Sesame Chili Crisp	Pickle Collection	N/A	150	Crispy sesame and chili condiment.	Available
49	Dalle Chili Ketchup	Pickle Collection	N/A	250	Spicy ketchup made with Dalle chili.	Available
50	Dalle Bamboo	Pickle Collection	N/A	250	Dalle chili and bamboo shoot pickle.	Available
51	Shredded Smoke Buff Pickle	Pickle Collection	N/A	220	Smoked shredded buffalo pickle.	Available
52	Prawn Pickle (Nagaland)	Pickle Collection	N/A	170	Naga-style prawn pickle with King Chili, garlic, mustard oil, and spices.	Available
53	Chicken Anishi	Pickle Collection	N/A	250	Chicken pickle with fermented Anishi.	Available
54	Buff Anishi	Pickle Collection	N/A	250	Buffalo pickle with fermented Anishi.	Available
55	Gooseberry Candy	Pickle Collection	N/A	100	Sweet and tangy gooseberry candy.	Available
56	Buff Chunks	Pickle Collection	N/A	150	Buffalo meat chunks.	Available
57	Poirei Pork Pickle	Pickle Collection	N/A	300	Traditional Manipuri pork pickle.	Available
58	Chicken Jhal Chana	Pickle Collection	N/A	120	Chicken and spicy chickpea mix.	Available
59	Buff Chunk with Axone	Pickle Collection	N/A	260	Buffalo chunks with fermented Axone.	Available
60	Mango Pickle (Homemade)	Pickle Collection	N/A	200	Homemade mango pickle.	Currently Unavailable
61	Shrimp Paste (Big)	Pickle Collection	Large	150	Large container of shrimp paste.	Currently Unavailable
62	Dimapur Fresh King Chili with Salt	Pickle Collection	N/A	250	Fresh King Chili preserved with salt.	Currently Unavailable
63	Dalle with Radish	Pickle Collection	N/A	250	Dalle chili and radish pickle.	Currently Unavailable
64	Chicken Pickle (Homemade)	Pickle Collection	100gm	250	Homemade chicken pickle.	Currently Unavailable
65	Grasshopper Pickle	Pickle Collection	N/A	200	Traditional paddy field grasshopper pickle.	Currently Unavailable
66	Bitter Gourd Fry (Homemade)	Pickle Collection	N/A	150	Homemade fried bitter gourd.	Currently Unavailable
67	Kashmiri Mirch Fry (Homemade)	Pickle Collection	N/A	150	Homemade fried Kashmiri chili.	Currently Unavailable
68	Timbur with Garlic	Pickle Collection	N/A	250	Timbur spice blended with garlic.	Currently Unavailable
69	Dalle Vinegar	Pickle Collection	N/A	250	Vinegar infused with Dalle chili.	Currently Unavailable
70	Pork Pickle (Homemade)	Pickle Collection	100gm	150	Homemade pork pickle.	Currently Unavailable
71	Smoked Pork Pickle (Homemade)	Pickle Collection	N/A	150	Homemade smoked pork pickle.	Currently Unavailable
72	Radish Pickle	Pickle Collection	N/A	250	Traditional radish pickle.	Currently Unavailable
S.No	Product Name	Category	Weight/Specification	Price (₹)	Description	Status
1	Sticky Rice (Black)	Rice Items	500gm	150	Premium black sticky rice, ideal for traditional Northeast and Asian dishes.	Available
2	Sticky Rice (Red)	Rice Items	500gm	150	Nutritious red sticky rice with a rich texture and flavor.	Available
3	Sticky Rice (White)	Rice Items	500gm	150	Premium white sticky rice suitable for desserts and traditional meals.	Available
4	Dharam Special Rice of Manipur	Rice Items	500gm	100	Soft, aromatic, and premium-quality rice from Manipur.	Available
5	Sticky Rice Flour	Rice Items	300gm	150	Finely ground sticky rice flour for traditional recipes and desserts.	Currently Unavailable
6	Joha Rice of Assam	Rice Items	N/A	130	Aromatic Assam rice known for its delicate taste and fragrance.	Currently Unavailable
7	Sticky Rice (Purple)	Rice Items	500gm	150	Premium purple sticky rice with rich flavor and texture.	Currently Unavailable
S.No	Product Name	Category	Weight/Specification	Price (₹)	Description	Status
1	Machal	Spices	N/A	10	Traditional spice blend containing coriander, black pepper, cumin, cardamom, cinnamon, cloves, ginger, garlic powder, and more.	Available
2	BMC Meat Masala	Spices	N/A	10	Premium all-in-one meat masala with coriander, chilies, fenugreek, turmeric, cumin, garlic, cardamom, saffron, nutmeg, and other spices.	Available
3	Pork Masala	Spices	N/A	10	Special spice blend for pork preparations.	Available
4	Machal Chili Flakes	Spices	100gm	120	Premium chili flakes.	Available
5	Machal Chili Flakes	Spices	N/A	10	Single-use pack of Machal chili flakes.	Available
6	Machal Container	Spices	N/A	150	Large container of Machal spice blend.	Available
7	BMC Meat Masala	Spices	50gm	100	Premium meat masala in a 50gm pack with authentic blended spices.	Available
8	BMC Garam Masala	Spices	N/A	10	Traditional garam masala spice mix.	Available
9	Turmeric Powder (Siliguri)	Spices	100gm	50	Premium turmeric powder sourced from Siliguri.	Available
10	Ajino	Spices	N/A	20	Flavor enhancer (Ajinomoto/MSG) for cooking.	Available
11	Machang	Spices	N/A	10	Traditional spice seasoning.	Currently Unavailable
12	Machal Veg	Spices	N/A	150	Vegetarian seasoning mix from the Machal range.	Currently Unavailable
